Channel_Group,Campaign_Group,budget,recommended_budget_amount,Last 30 Days_FF_Lead_Event_Count,Last 30 Days_FF_Purchase_Event_Count,Last 30 Days_FF_BRSubmit_Event_Count,Last 30 Days_FF_DMSubmit_Event_Count,Last 30 Days_FF_PhoneGet_Event_Count,Last 30 Days_Clicks,Last 30 Days_Impressions,Last 30 Days_Cost
Paid Social + Display,Undefined/Other,650.0,0.0,434.0,329.0,2809.0,4425.0,3796.0,0.0,0.0,0.0
SEM Brand,Google Search - Brand,3600.0,0.0,5285.0,2037.0,12682.0,15094.0,12186.0,201957.0,285300.0,65415.377809
SEM Brand,Google Search - Brand Broad,2285.0,0.0,363.0,254.0,2125.0,2364.0,2113.0,38242.0,70746.0,71230.353468
SEM Brand,Google Search - TNH Brand,1000.0,1500.0,,,,,,,,
SEM Non-Brand,Google Search - Corporate,350.0,0.0,130.0,24.0,48.0,60.0,68.0,2351.0,21522.0,6519.82613
SEM Non-Brand,Google Search - Housing,276.0,480.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0
SEM Non-Brand,Google Search - Landlord,750.0,2100.0,508.0,72.0,297.0,473.0,306.0,12202.0,100874.0,22286.01197
SEM Non-Brand,Google Search - TNH Non-Brand,1600.0,2300.0,1517.0,358.0,549.0,913.0,630.0,26953.0,95208.0,67035.034322
SEM Non-Brand,Google Search - Travel Nurse,700.0,1500.0,645.0,172.0,170.0,192.0,126.0,10648.0,45909.0,33955.968635
SEM Non-Brand,Google Search - Travel Nurse Housing,960.0,0.0,2.0,1.0,1.0,0.0,0.0,27.0,228.0,29.93
SEM Non-Brand - Tenant,Google Search - Tenants,2400.0,0.0,237.0,49.0,5854.0,5560.0,4724.0,106008.0,867923.0,96315.124835
