ISO_Year,ISO_Week,Incomplete_Week
2022,52,True
2023,1,True
2023,2,True
2023,3,True
2023,4,True
2023,5,True
2023,6,True
2023,7,True
2023,8,True
2023,9,True
2023,10,True
2023,11,True
2023,12,True
2023,13,True
2023,14,True
2023,15,True
2023,16,True
2023,17,True
2023,18,True
2023,19,True
2023,20,True
2023,21,True
2023,22,True
2023,23,True
2023,24,True
2023,25,True
2023,26,True
2023,27,False
2023,28,False
2023,29,False
2023,30,False
2023,31,False
2023,32,False
2023,33,False
2023,34,False
2023,35,False
2023,36,False
2023,37,False
2023,38,False
2023,39,False
2023,40,False
2023,41,False
2023,42,False
2023,43,False
2023,44,False
2023,45,False
2023,46,False
2023,47,False
2023,48,False
2023,49,False
2023,50,False
2023,51,False
2023,52,False
2024,1,False
2024,2,False
2024,3,False
2024,4,False
2024,5,False
2024,6,False
2024,7,False
2024,8,False
2024,9,False
2024,10,False
2024,11,False
2024,12,False
2024,13,False
2024,14,False
2024,15,False
2024,16,False
2024,17,False
2024,18,False
2024,19,False
2024,20,False
2024,21,False
2024,22,False
2024,23,False
2024,24,False
2024,25,False
2024,26,False
2024,27,False
2024,28,False
2024,29,False
2024,30,False
2024,31,False
2024,32,False
2024,33,False
2024,34,False
2024,35,False
2024,36,False
2024,37,False
2024,38,False
2024,39,False
2024,40,False
2024,41,False
2024,42,False
2024,43,False
2024,44,False
2024,45,False
2024,46,False
2024,47,False
2024,48,False
2024,49,False
2024,50,False
